id,area_name,pincode
146,Medihalli,560049
147,Mundur,560049
148,Thambuchetty Palya,560049
149,Virgonagar,560049
150,Ashoknagar,560050
151,Banashankari,560050
152,Dasarahalli,560050
153,State Bank of mysore colony,560050
154,H.K.p. road,560051
155,Vasanthnagar,560052
156,Balepete,560053
157,Chickpet,560053
158,M S r road,560054
159,Mathikere,560054
160,Msrit,560054
161,Malleswaram West,560055
162,Milk Colony,560055
163,Bnagalore Viswavidalaya,560056
164,Mallathahalli,560056
165,Ullalu Upanagara,560056
166,Dasarahalli,560057
167,Peenya I stage,560058
168,Peenya Ii stage,560058
169,Peenya Small industries,560058
170,Rv Niketan,560059
171,Chikkalasandra,560061
172,Subramanyapura,560061
173,Doddakallasandra,560062
174,Doddakallasandra,560062
175,Konanakunte,560062
176,A F station yelahanka,560063
177,Attur,560064
178,Bsf Campus yelahanka,560064
179,Crpf Campus yelahanka,560064
180,Jakkur,560064
181,Kendriya Vihar,560064
182,Rajanakunte,560064
183,Singanayakanahalli,560064
184,Wheel And axle plant,560064
185,Yelahanka,560064
186,Yelahanka Satellite town,560064
187,G.K.v.k.,560065
188,Immedihalli,560066
189,Jeevanbhimanagar,560066
190,Ramagondanahalli,560066
191,Whitefield,560066
192,Devanagundi,560067
193,Kadugodi,560067
194,Kalkunte,560067
195,Kannamangala,560067
196,Medimallasandra,560067
197,Naduvathi,560067
198,Samethanahalli,560067
199,Bommanahalli,560068
200,Hongasandra,560068
201,Madivala,560068
202,Jayangar East,560069
203,B Sk ii stage,560070
204,Jayanagar West,560070
205,Padmanabhnagar,560070
206,Yediyur,560070
207,Domlur,560071
208,Nagarbhavi,560072
209,Bagalgunte,560073
210,Nagasandra,560073
211,Kumbalgodu,560074
212,New Thippasandra,560075
213,Bannerghatta Road,560076
214,Hulimavu,560076
215,Mico Layout,560076
216,Mount St joseph,560076
217,Kothanur,560077
218,J P nagar,560078
219,Jp Nagar iii phase,560078
220,Kumaraswamy Layout,560078
221,Vikramnagar,560078
222,Yelachenahalli,560078
223,Basaveshwaranagar,560079
224,K H b colony,560079
225,Kamakshipalya,560079
226,Sadashivanagar,560080
227,Bannerghatta,560083
228,Kacharakanahalli,560084
229,Lingarajapuram,560084
230,St. thomas town,560084
231,Banashankari Iii stage,560085
232,Girinagar,560085
233,Hosakerehalli,560085
234,Ittamadu Layout,560085
235,Kathriguppe,560085
236,Avani Sringeri mutt,560086
237,Basaveswaranagar Ii stage,560086
238,Mahalakshmipuram Layout,560086
239,Gunjur,560087
240,Muthusandra,560087
241,Panathur,560087
242,Vartur,560087
243,Viswaneedam,560091
244,Amruthahalli,560092
245,Byatarayanapura,560092
246,Kodigehalli,560092
247,Sahakaranagar P.o,560092
248,C.V.raman nagar,560093
249,Isro Anthariksha bhavan,560094
250,R.M.v. extension ii stage,560094
251,Koramangala Vi bk,560095
252,Kanteeravanagar,560096
253,Nandinilayout,560096
254,Chikkabettahalli,560097
255,Vidyaranyapura,560097
256,Kenchanahalli,560098
257,Rajarajeshwarinagar,560098
258,Muthanallur,560099
259,Electronics City,560100
260,Hsr Layout,560102
261,Bellandur,560103
262,Hampinagar,560104
263,Anekal,562106
264,Anekalbazar,562106
265,Bestamaranahalli,562106
266,Harogadde,562106
267,Hennagara,562106
268,Hulimangala,562106
269,Indalavadi,562106
270,Jigani,562106
271,Marsur,562106
272,Samandur,562106
273,Sidihoskote,562106
274,Thammanayakanahalli,562106
275,Vanakanahalli,562106
276,Attibele,562107
277,Bidaraguppe,562107
278,Mayasandra,562107
279,Neralur,562107
280,Yadavanahalli,562107
281,Dommasandra,562125
282,Handenahalli,562125
283,Kugur,562125
284,Sarjapura,562125
285,Chikkanahalli,562130
286,Chunchanakuppe,562130
287,Kadabagere,562130
288,Tavarekere,562130
289,Bagalur,562149
290,Bandikodigehalli,562149
291,Doddagubbi,562149
292,Kannur,562149
293,Bettahalsur,562157
294,Chikkajala,562157
295,Doddajala,562157
296,Hunasamaranahalli,562157
297,Tarahunise,562157
298,Vidyanagara,562157
